id;nombres_empleado;apellido_empleado;telefono;correo
1;geez with;odd;elderly hypothesise;bah
2;ha in;pfft qua;equal archaeology evenly;barring
3;vastly;house tame;scenario inwardly;before busy
4;gee duh;ride long substantial;stratify huzzah pigsty;wriggler regarding
5;not ignorance hungrily;mmm statue;help;aftermath
6;fooey subsidy;yowza;ah while ew;opposite until
7;red reluctantly;psst abnegate;always;atomize
8;aha goat worth;um;quaintly valentine state;outside fork
9;adjourn roughly crossly;onto;gee breastplate;silently
10;inexperienced turret self-assured;mummify;innovate;patiently eek
